person_number,indicator,value
1,hindex,13
1,2020,80
1,2021,87
1,2022,128
2,hindex,NA
2,2020,NA
2,2021,NA
2,2022,NA
3,hindex,30
3,2020,120
3,2021,128
3,2022,101
4,hindex,18
4,2020,77
4,2021,38
4,2022,39
5,hindex,11
5,2020,44
5,2021,65
5,2022,60
6,hindex,21
6,2020,275
6,2021,222
6,2022,218
7,hindex,8
7,2020,29
7,2021,50
7,2022,92
8,hindex,37
8,2020,494
8,2021,472
8,2022,393
9,hindex,23
9,2020,193
9,2021,227
9,2022,272
10,hindex,30
10,2020,335
10,2021,334
10,2022,402
11,hindex,25
11,2020,425
11,2021,639
11,2022,564
12,hindex,34
12,2020,606
12,2021,624
12,2022,593
13,hindex,20
13,2020,174
13,2021,233
13,2022,210
14,hindex,26
14,2020,99
14,2021,146
14,2022,117
15,hindex,15
15,2020,241
15,2021,280
15,2022,267
16,hindex,22
16,2020,114
16,2021,146
16,2022,124
17,hindex,31
17,2020,250
17,2021,233
17,2022,212
18,hindex,31
18,2020,476
18,2021,498
18,2022,476
